ContentKey,en-US,fr-FR
app_title,Rao vặt quảng cáo miễn phí,Rao vặt quảng cáo miễn phí
app_description,Single page application using aspnet core and angular,fr-Single page application using aspnet core and angular
app_repo_url,https://github.com/asadsahi/TNMarketplace,https://github.com/asadsahi/TNMarketplace
app_nav_home,Trang chủ,fr-Home
app_nav_signalr,SignalR,fr-SignalR
app_nav_examples,Examples,fr-Examples
app_nav_register,Register,fr-Register
app_nav_login,Đăng nhập,fr-Login
app_nav_logout,Đăng xuất,fr-Logout
app_login_btn,Đăng nhập,fr-Login
app_registry_btn,Đăng ký,fr-Register
app_email,Email,fr-Email
app_password,Mật khẩu,fr-Password
app_username,Tên đăng nhập,fr-Username
app_firstname,Họ,fr-Firstname
app_lastname,Tên,fr-Lastname
app_mobile,Mobile,fr-Mobile
app_forget_password,Quên mật khẩu? vào đây,fr-Forget password? click here
